グランデッツァ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,マルバイユ,Marju,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Flame of Tara,アーテイアス
,,,,Welsh Flame
,,Hambye,Distant Relative,Habitat
,,,,Royal Sister
,,,Paglietta Gener,Final Straw
,,,,Miss Puddleduck
スズオリヅル,フサイチコンコルド,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,バレークイーン,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Sun Princess,イングリッシュプリンス
,,,,Sunny Valley
,スズマイヒメ,ハウスバスター,Mt. Livermore,Blushing Groom
,,,,Flama Ardiente
,,,Big Dreams,Great Above
,,,,Dolphins Dream
,,ポップアートII,Relaunch,In Reality
,,,,Foggy Note
,,,Popachee,Apalachee
,,,,Jane Gallant
