ディープインパクト,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
キスドバイエンジェルズ,Galileo,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,アーバンシー,Miswaki,Mr. Prospector
,,,,Hopespringseternal
,,,Allegretta,Lombard
,,,,Anatevka
,Lillie Langtry,Danehill Dancer,デインヒル,Danzig
,,,,Razyana
,,,Mira Adonde,Sharpen Up
,,,,Lettre d'Amour
,,Hoity Toity,Darshaan,Shirley Heights
,,,,Delsy
,,,Hiwaayati,Shadeed
,,,,Alathea
