ハーツクライ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,アイリッシュダンス,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ビューパーダンス,Lyphard,Northern Dancer
,,,,Goofed
,,,My Bupers,Bupers
,,,,Princess Revoked
タミーン,Shirocco,Monsun,Konigsstuhl,Dschingis Khan
,,,,Konigskronung
,,,Mosella,Surumu
,,,,Monasia
,,So Sedulous,The Minstrel,Northern Dancer
,,,,Fleur
,,,Sedulous,タップオンウッド
,,,,Pendulina
,Najah,Nashwan,Blushing Groom,Red God
,,,,Runaway Bride
,,,Height of Fashion,Bustino
,,,,Highclere
,,Mehthaaf,Nureyev,Northern Dancer
,,,,Special
,,,Elle Seule,Exclusive Native
,,,,Fall Aspen
