アンライバルド,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,バレークイーン,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sun Princess,イングリッシュプリンス,Petingo
,,,,English Miss
,,,Sunny Valley,Val de Loir
,,,,Sunland
マスタープラチナム,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,プラチナム,スキャターザゴールド,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Dance Smartly,Danzig
,,,,Classy'n Smart
,,ショウエイミズキ,Nashwan,Blushing Groom
,,,,Height of Fashion
,,,アルヴォラ,Sadler's Wells
,,,,Park Appeal
