ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
ムーンライトベイ,High Chaparral,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Kasora,Darshaan,Shirley Heights
,,,,Delsy
,,,Kozana,Kris
,,,,Koblenza
,ムーンライトダンス,Sinndar,Grand Lodge,Chief's Crown
,,,,La Papagena
,,,Sinntara,Lashkari
,,,,Sidama
,,Style of Life,The Minstrel,Northern Dancer
,,,,Fleur
,,,Bubinka,Nashua
,,,,Stolen Date
