キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,マンファス,ラストタイクーン,トライマイベスト,Northern Dancer
,,,,Sex Appeal
,,,Mill Princess,Mill Reef
,,,,Irish Lass
,,Pilot Bird,Blakeney,Hethersett
,,,,Windmill Girl
,,,The Dancer,Green Dancer
,,,,Khazaeen
マリンフェスタ,サクラバクシンオー,サクラユタカオー,テスコボーイ,Princely Gift
,,,,Suncourt
,,,アンジェリカ,ネヴァービート
,,,,スターハイネス
,,サクラハゴロモ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,クリアアンバー,Ambiopoise
,,,,One Clear Call
,ロングチアーズ,ミホシンザン,シンザン,ヒンドスタン
,,,,ハヤノボリ
,,,ナポリジョオー,ムーティエ
,,,,タイタイ
,,スイーブ,テューダーペリオッド,Owen Tudor
,,,,Cornice
,,,ゴールデンドラゴン,ヒンドスタン
,,,,第五カナデアンガール
