キングヘイロー,ダンシングブレーヴ,Lyphard,Northern Dancer,Nearctic
,,,,Natalma
,,,Goofed,Court Martial
,,,,Barra
,,Navajo Princess,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Olmec,Pago Pago
,,,,Chocolate Beau
,グッバイヘイロー,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Pound Foolish,Sir Ivor,Sir Gaylord
,,,,Attica
,,,Squander,Buckpasser
,,,,Discipline
ミワノロマンス,サムライハート,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,エアグルーヴ,トニービン,カンパラ
,,,,Severn Bridge
,,,ダイナカール,ノーザンテースト
,,,,シャダイフェザー
,サクラササヤキ,ノーアテンション,Green Dancer,Nijinsky
,,,,Green Valley
,,,No No Nanette,Sovereign Path
,,,,Nuclea
,,シルバーナイキ,ドン,Grey Sovereign
,,,,Diviana
,,,ケープルビー,ムーティエ
,,,,ガーネツト
