ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ポインテッドパス,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Silken Way,Shantung,Sicambre
,,,,Barley Corn
,,,Boulevard,Pall Mall
,,,,Costa Sola
サクセスマリ,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,サクセスウイッチ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,アワーミスレッグス,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Colonial Waters,Pleasant Colony
,,,,Water Cress
