スピルバーグ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,プリンセスオリビア,Lycius,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Lypatia,Lyphard
,,,,Hypatia
,,Dance Image,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Diamond Spring,Vaguely Noble
,,,,Dumfries
シナル,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,イブキスタイリスト,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,アンバーネックレス,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シヤダイマリア,マリーノ
,,,,クリアアンバー
