ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ホワイトウォーターアフェア,Machiavellian,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
,,Much Too Risky,Bustino,Busted
,,,,Ship Yard
,,,Short Rations,Lorenzaccio
,,,,Short Commons
フギン,ストリートセンス,Street Cry,Machiavellian,Mr. Prospector
,,,,Coup de Folie
,,,Helen Street,Troy
,,,,Waterway
,,Bedazzle,Dixieland Band,Northern Dancer
,,,,Mississippi Mud
,,,Majestic Legend,His Majesty
,,,,Long Legend
,アリアプーラ,Flying Spur,デインヒル,Danzig
,,,,Razyana
,,,Rolls,Mr. Prospector
,,,,Grand Luxe
,,Fortunata,Dr. Grace,Sir Tristram
,,,,English Wonder
,,,Extradite,Bletchingly
,,,,Expulsion
