キズナ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,キャットクイル,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Pacific Princess,Damascus,Sword Dancer
,,,,Kerala
,,,Fiji,Acropolis
,,,,Rififi
マイネレーヌ,マイネルラヴ,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Heart of Joy,リィフォー,Lyphard
,,,,Klaizia
,,,Mythographer,Secretariat
,,,,Arachne
,グレースマリヤ,グルームダンサー,Blushing Groom,Red God
,,,,Runaway Bride
,,,Featherhill,Lyphard
,,,,Lady Berry
,,ミホグレース,アスワン,ノーザンテースト
,,,,リリーオブザナイル
,,,ビューティマリヤ,トライバルチーフ
,,,,チュウオーマリヤ
