Constitution,Tapit,Pulpit,A.P. Indy,Seattle Slew
,,,,Weekend Surprise
,,,Preach,Mr. Prospector
,,,,Narrate
,,Tap Your Heels,Unbridled,Fappiano
,,,,Gana Facil
,,,Ruby Slippers,Nijinsky
,,,,Moon Glitter
,Baffled,Distorted Humor,フォーティナイナー,Mr. Prospector
,,,,File
,,,Danzig's Beauty,Danzig
,,,,Sweetest Chant
,,Surf Club,Ocean Crest,Storm Bird
,,,,S.S.Aroma
,,,Horns Gray,Pass the Tab
,,,,Cox's Angel
カラズマッチポイント,Curlin,Smart Strike,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Classy'n Smart,Smarten
,,,,No Class
,,Sherriff's Deputy,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Barbarika,Bates Motel
,,,,War Exchange
,Home Court,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Jewel Princess,Key to the Mint,Graustark
,,,,Key Bridge
,,,Jewell Ridge,Melyno
,,,,Say What You Mean
