ハーツクライ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,アイリッシュダンス,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ビューパーダンス,Lyphard,Northern Dancer
,,,,Goofed
,,,My Bupers,Bupers
,,,,Princess Revoked
ネイチャーガイド,エルコンドルパサー,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,サドラーズギャル,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Glenveagh,Seattle Slew
,,,,Lisadell
,ホワイトウォーターレディ,Riverman,Never Bend,Nasrullah
,,,,Lalun
,,,River Lady,Prince John
,,,,Nile Lily
,,Waterloo,Bold Lad,Bold Ruler
,,,,Barn Pride
,,,Lakewoods,Hyperion
,,,,Holwood
