バゴ,Nashwan,Blushing Groom,Red God,Nasrullah
,,,,Spring Run
,,,Runaway Bride,Wild Risk
,,,,Aimee
,,Height of Fashion,Bustino,Busted
,,,,Ship Yard
,,,Highclere,Queen's Hussar
,,,,Highlight
,Moonlight's Box,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Coup de Genie,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
シンシンマーキー,ラストタイクーン,トライマイベスト,Northern Dancer,Nearctic
,,,,Natalma
,,,Sex Appeal,Buckpasser
,,,,Best in Show
,,Mill Princess,Mill Reef,Never Bend
,,,,Milan Mill
,,,Irish Lass,Sayajirao
,,,,Scollata
,シンコマンチラン,タマモクロス,シービークロス,フォルティノ
,,,,ズイシヨウ
,,,グリーンシャトー,シャトーゲイ
,,,,クインビー
,,シンミスアンサー,ノーザンアンサー,Northern Dancer
,,,,Windy Answer
,,,ブラウンデージ,ボンモー
,,,,コマンチ
