ディープブリランテ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ラヴアンドバブルズ,Loup Sauvage,Riverman,Never Bend
,,,,River Lady
,,,Louveterie,Nureyev
,,,,Lupe
,,バブルドリーム,Akarad,Labus
,,,,Licata
,,,バブルプロスペクター,Miswaki
,,,,バブルカンパニー
レッドプラネット,ティンバーカントリー,Woodman,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,プレイメイト,Buckpasser
,,,,Intriguing
,,Fall Aspen,Pretense,Endeavour
,,,,Imitation
,,,Change Water,Swaps
,,,,Portage
,レッドプライム,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,スプラッシュクイン,トニービン,カンパラ
,,,,Severn Bridge
,,,ダイナマーメイド,ノーザンテースト
,,,,シヤダイマイン
