マジェスティックウォリアー,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian
,,,,Reason to Earn
,,,My Charmer,Poker
,,,,Fair Charmer
,,Weekend Surprise,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Lassie Dear,Buckpasser
,,,,Gay Missile
,Dream Supreme,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Spinning Round,Dixieland Band,Northern Dancer
,,,,Mississippi Mud
,,,Take Heart,Secretariat
,,,,Deck Stewardess
オーパスクイーン,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,オーパスワン,Theatrical,Nureyev,Northern Dancer
,,,,Special
,,,ツリーオブノレッジ,Sassafras
,,,,Sensibility
,,ティルティング,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Aldonza,Bold Bidder
,,,,Petite Rouge
