ロードカナロア,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,レディブラッサム,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,サラトガデュー,Cormorant,His Majesty
,,,,Song Sparrow
,,,Super Luna,In Reality
,,,,Alada
ダイワエルシエーロ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ロンドンブリッジ,ドクターデヴィアス,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Rose of Jericho,Alleged
,,,,Rose Red
,,オールフォーロンドン,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Full Card,Damascus
,,,,Belle of the Ball
