タイセイレジェンド,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,シャープキック,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,ペッパーキャロル,ニチドウアラシ,ボールドアンドエイブル
,,,,シャトーローズ
,,,ダイナキャロル,ノーザンテースト
,,,,クレアーブリッジ
ウグイスジョウ,フサイチコンコルド,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,バレークイーン,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Sun Princess,イングリッシュプリンス
,,,,Sunny Valley
,ターフトレジャー,Be My Guest,Northern Dancer,Nearctic
,,,,Natalma
,,,What a Treat,Tudor Minstrel
,,,,Rare Treat
,,ザナック,Machiavellian,Mr. Prospector
,,,,Coup de Folie
,,,Once in My Life,Lomond
,,,,No Disgrace
