スズカコーズウェイ,Giant's Causeway,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Mariah's Storm,Rahy,Blushing Groom
,,,,Glorious Song
,,,イメンス,Roberto
,,,,Imsodear
,フレンチリヴィエラ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,Actinella,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Aerturas,マナード
,,,,Amiel
ハイポセシス,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,パーフェクトチャンス,Unbridled's Song,Unbridled,Fappiano
,,,,Gana Facil
,,,Trolley Song,Caro
,,,,Lucky Spell
,,Win Crafty Lady,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Honeytab,Al Hattab
,,,,Get Up Honey
