ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
ラヴァリーノ,Unbridled's Song,Unbridled,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Gana Facil,Le Fabuleux
,,,,Charedi
,,Trolley Song,Caro,フォルティノ
,,,,Chambord
,,,Lucky Spell,Lucky Mel
,,,,Incantation
,Sous Entendu,Shadeed,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Continual,Damascus
,,,,Continuation
,,It's in the Air,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,A Wind Is Rising,Francis S.
,,,,Queen Nasra
