ローズキングダム,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ローズバド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ロゼカラー,Shirley Heights,Mill Reef
,,,,Hardiemma
,,,ローザネイ,Lyphard
,,,,Riviere Doree
コウユーノミチ,キングヘイロー,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,グッバイヘイロー,Halo,Hail to Reason
,,,,Cosmah
,,,Pound Foolish,Sir Ivor
,,,,Squander
,オフトメロディ,サウスアトランティック,Mill Reef,Never Bend
,,,,Milan Mill
,,,Arkadina,Ribot
,,,,Natashka
,,スイートニース,ハードツービート,ハーディカヌート
,,,,Virtuous
,,,スイートチェリー,パーソロン
,,,,スイートエイト
