タニノギムレット,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,タニノクリスタル,クリスタルパレス,Caro,フォルティノ
,,,,Chambord
,,,Hermieres,Sicambre
,,,,Vieille Pierre
,,タニノシーバード,Sea-Bird,Dan Cupid
,,,,Sicalade
,,,Flaxen,Graustark
,,,,Flavia
フレグラントガール,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,カーリア,Carson City,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Blushing Promise,Blushing Groom
,,,,Summertime Promise
,,De Puntillas,Distant Relative,Habitat
,,,,Royal Sister
,,,Enola,Ela-Mana-Mou
,,,,Come True
