ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
スイートハビタット,Grand Lodge,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,La Papagena,Habitat,Sir Gaylord
,,,,Little Hut
,,,Magic Flute,Tudor Melody
,,,,Filigrana
,Lindesberg,Doyoun,Mill Reef,Never Bend
,,,,Milan Mill
,,,Dumka,Kashmir
,,,,Faizebad
,,Be Discreet,ジュニアス,Raja Baba
,,,,Solid Thought
,,,Querida,Habitat
,,,,Principia
