サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,ダーケストスター,Star de Naskra,Naskra,Nasram
,,,,Iskra
,,,Candle Star,Clandestine
,,,,Star Minstrel
,,Minnie Riperton,Cornish Prince,Bold Ruler
,,,,Teleran
,,,English Harbor,War Admiral
,,,,Level Sands
グランデクオーレ,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,ニフティハート,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ニフティニース,Raise a Native,Native Dancer
,,,,Raise You
,,,ニフテイアンドニート,Vigors
,,,,Haleallah
