ローエングリン,シングスピール,In the Wings,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,ハイホーク,Shirley Heights
,,,,Sunbittern
,,Glorious Song,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,カーリング,Garde Royale,Mill Reef,Never Bend
,,,,Milan Mill
,,,Royal Way,Sicambre
,,,,Right Away
,,Corraleja,Carvin,マリーノ
,,,,Coraline
,,,Darling Dale,Tyrant
,,,,Treat
フィールフリーリー,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ミスベルベール,Bering,Arctic Tern,Sea-Bird
,,,,Bubbling Beauty
,,,Beaune,Lyphard
,,,,Barbra
,,Miss Afrique,African Song,African Sky
,,,,Goldwyn Princess
,,,Dictumisas,ディクタス
,,,,Mischief
