アポロキングダム,Lemon Drop Kid,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Charming Lassie,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Lassie Dear,Buckpasser
,,,,Gay Missile
,Bella Gatto,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Winter Sparkle,Northjet,Northfields
,,,,Jellatina
,,,Turn to Talent,Turn-to
,,,,Hidden Talent
ウインドクラスト,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,ウィンドサイレンス,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Wild Planet,Nureyev,Northern Dancer
,,,,Special
,,,Ivory Wings,Sir Ivor
,,,,Kittiwake
