スピルバーグ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,プリンセスオリビア,Lycius,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Lypatia,Lyphard
,,,,Hypatia
,,Dance Image,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Diamond Spring,Vaguely Noble
,,,,Dumfries
スターフェスタ,エリシオ,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Helice,Slewpy,Seattle Slew
,,,,Rare Bouquet
,,,Hirondelle,Val de l'Orne
,,,,Hermanville
,パラダイスムーン,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Beautiful Melody,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Beautiful Spirit,Bold Bidder
,,,,Baby La
