キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ケルトシャーン,Pleasant Colony,His Majesty,Ribot
,,,,Flower Bowl
,,,Sun Colony,Sunrise Flight
,,,,Colonia
,,Featherhill,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Berry,Violon d'Ingres
,,,,Moss Rose
アラタマデジタル,アグネスデジタル,Crafty Prospector,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Real Crafty Lady,In Reality
,,,,Princess Roycraft
,,Chancey Squaw,Chief's Crown,Danzig
,,,,Six Crowns
,,,Allicance,Alleged
,,,,Runaway Bride
,アラタマサーチャー,タイキシャトル,Devil's Bag,Halo
,,,,Ballade
,,,ウェルシュマフィン,Caerleon
,,,,Muffitys
,,アセルティンズエンジェルス,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Honor Tricks,Bold Bidder
,,,,Cosmah
