ノヴェリスト,Monsun,Konigsstuhl,Dschingis Khan,Tamerlane
,,,,Donna Diana
,,,Konigskronung,Tiepoletto
,,,,Kronung
,,Mosella,Surumu,Literat
,,,,Surama
,,,Monasia,Authi
,,,,Monacensia
,Night Lagoon,Lagunas,イルドブルボン,Nijinsky
,,,,Roseliere
,,,Liranga,Literat
,,,,Love In
,,Nenuphar,Night Shift,Northern Dancer
,,,,Ciboulette
,,,Narola,Nebos
,,,,Nubia
エリモアクアポリス,ダンスインザダーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,レディーマーゴット,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Bold Lady,ボールドラツド,Bold Ruler
,,,,Misty Morn
,,,Tredam,High Treason
,,,,Damasi
