マツリダゴッホ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ペイパーレイン,Bel Bolide,Bold Bidder,Bold Ruler
,,,,High Bid
,,,Lady Graustark,Graustark
,,,,Inyala
,,フローラルマジック,Affirmed,Exclusive Native
,,,,Won't Tell You
,,,Rare Lady,Never Bend
,,,,Double Agent
ゼリービーン,タイキシャトル,Devil's Bag,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,,ウェルシュマフィン,Caerleon,Nijinsky
,,,,Foreseer
,,,Muffitys,Thatch
,,,,Contrail
,ジュエルヒル,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Funistrada,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Mesabi,Minnesota Mac
,,,,Ride the Trails
