ノーザンリバー,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ソニンク,Machiavellian,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
,,Sonic Lady,Nureyev,Northern Dancer
,,,,Special
,,,Stumped,Owen Anthony
,,,,Luckhurst
マイイブキ,グランデラ,Grand Lodge,Chief's Crown,Danzig
,,,,Six Crowns
,,,La Papagena,Habitat
,,,,Magic Flute
,,Bordighera,Alysheba,Alydar
,,,,Bel Sheba
,,,Blue Tip,Tip Moss
,,,,As Blue
,エンヴィ,サッカーボーイ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,,レインボーウッド,Rainbow Quest,Blushing Groom
,,,,I Will Follow
,,,Priceless Fame,Irish Castle
,,,,Comely Nell
