ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ホワイトウォーターアフェア,Machiavellian,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
,,Much Too Risky,Bustino,Busted
,,,,Ship Yard
,,,Short Rations,Lorenzaccio
,,,,Short Commons
フローレンスガール,El Corredor,Mr. Greeley,Gone West,Mr. Prospector
,,,,Secrettame
,,,Long Legend,Reviewer
,,,,Lianga
,,Silvery Swan,Silver Deputy,Deputy Minister
,,,,Silver Valley
,,,Sociable Duck,Quack
,,,,Unsociable
,Launch Site,Relaunch,In Reality,Intentionally
,,,,My Dear Girl
,,,Foggy Note,The Axe
,,,,Silver Song
,,Insight to Cope,Copelan,Tri Jet
,,,,Susan's Girl
,,,Precise Vision,Visualizer
,,,,Excellently
