カネヒキリ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ライフアウトゼア,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Silver Valley,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Seven Valleys,Road At Sea
,,,,Proud Pied
エムズガール,トワイニング,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Courtly Dee,Never Bend,Nasrullah
,,,,Lalun
,,,Tulle,War Admiral
,,,,Judy-Rae
,ターフアミティエ,ザグレブ,Theatrical,Nureyev
,,,,ツリーオブノレッジ
,,,Sophonisbe,ウォロー
,,,,Southern Seas
,,トップニュースII,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Fabulous Fraud,Le Fabuleux
,,,,The Bride
