ベーカバド,Cape Cross,Green Desert,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Foreign Courier,Sir Ivor
,,,,Courtly Dee
,,Park Appeal,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Balidaress,Balidar
,,,,Innocence
,Behkara,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Behera,Mill Reef,Never Bend
,,,,Milan Mill
,,,Borushka,Bustino
,,,,Valdavia
キャラメルチャン,フォーティナイナー,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,File,Tom Rolfe,Ribot
,,,,Pocahontas
,,,Continue,Double Jay
,,,,Courtesy
,ミムズキッス,Highland Blade,Damascus,Sword Dancer
,,,,Kerala
,,,Misty Bryn,Misty Flight
,,,,Penny Bryn
,,Mim's Bid,Spectacular Bid,Bold Bidder
,,,,Spectacular
,,,Our Mims,Herbager
,,,,Sweet Tooth
