シニスターミニスター,Old Trieste,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Lovlier Linda,Vigors,Grey Dawn
,,,,Relifordie
,,,Linda Summers,Crozier
,,,,Queenly Gift
,Sweet Minister,The Prime Minister,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Stick to Beauty,Illustrious
,,,,Hail to Beauty
,,Sweet Blue,Hurry Up Blue,Mr. Leader
,,,,Blue Baroness
,,,Sugar Gold,Mr. Prospector
,,,,Miss Ironside
プラチナムーン,アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,マイケイティーズ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ケイティーズファースト,Kris
,,,,Katies
,ソリッドプラチナム,ステイゴールド,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ゴールデンサッシュ,ディクタス
,,,,ダイナサッシュ
,,リザーブシート,クリエイター,Mill Reef
,,,,Chalon
,,,インヴァイト,Be My Guest
,,,,Burghclere
