マツリダゴッホ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ペイパーレイン,Bel Bolide,Bold Bidder,Bold Ruler
,,,,High Bid
,,,Lady Graustark,Graustark
,,,,Inyala
,,フローラルマジック,Affirmed,Exclusive Native
,,,,Won't Tell You
,,,Rare Lady,Never Bend
,,,,Double Agent
シェアースマイル,プリサイスエンド,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,Precisely,Summing,Verbatim
,,,,Sumatra
,,,Crisp 'n Clear,Cold Reception
,,,,Ring O'Bells
,エフケーサクラ,キンググローリアス,Naevus,Mr. Prospector
,,,,Mudville
,,,Glorious Natalie,Reflected Glory
,,,,Blue Eyed Blonde
,,イズミケリー,インターメゾ,Hornbeam
,,,,Plaza
,,,ダイセダン,セダン
,,,,シルバーギニー
