グランデッツァ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,マルバイユ,Marju,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Flame of Tara,アーテイアス
,,,,Welsh Flame
,,Hambye,Distant Relative,Habitat
,,,,Royal Sister
,,,Paglietta Gener,Final Straw
,,,,Miss Puddleduck
シャトーモア,ジョリーズヘイロー,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Jolie Jolie,Sir Ivor,Sir Gaylord
,,,,Attica
,,,Who's to Know,Fleet Nasrullah
,,,,Masked Lady
,グロリーサクラ,シーホーク,Herbager,Vandale
,,,,Flagette
,,,Sea Nymph,Free Man
,,,,Sea Spray
,,ジァガーサクラ,ラフィンゴラ,Grey Sovereign
,,,,Cameo
,,,ヤシマキーパー,トビサクラ
,,,,昇城
