グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
スマイルジュノ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,チャームトウショウ,コインドシルバー,Herbager,Vandale
,,,,Flagette
,,,Silver Coin,Never Bend
,,,,Silver Spoon
,,ガールトウショウ,チャイナロック,Rockefella
,,,,May Wong
,,,ソシアルバターフライ,Your Host
,,,,Wisteria
