アンライバルド,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,バレークイーン,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sun Princess,イングリッシュプリンス,Petingo
,,,,English Miss
,,,Sunny Valley,Val de Loir
,,,,Sunland
ファーマベリー,アサクサデンエン,シングスピール,In the Wings,Sadler's Wells
,,,,ハイホーク
,,,Glorious Song,Halo
,,,,Ballade
,,ホワイトウォーターアフェア,Machiavellian,Mr. Prospector
,,,,Coup de Folie
,,,Much Too Risky,Bustino
,,,,Short Rations
,フルートフルタイム,ジャングルポケット,トニービン,カンパラ
,,,,Severn Bridge
,,,ダンスチャーマー,Nureyev
,,,,Skillful Joy
,,アンナヴァン,エンドスウィープ,フォーティナイナー
,,,,Broom Dance
,,,フサイチミニヨン,サンデーサイレンス
,,,,バレークイーン
