スピルバーグ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,プリンセスオリビア,Lycius,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Lypatia,Lyphard
,,,,Hypatia
,,Dance Image,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Diamond Spring,Vaguely Noble
,,,,Dumfries
カミヒコーキ,マイネルラヴ,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Heart of Joy,リィフォー,Lyphard
,,,,Klaizia
,,,Mythographer,Secretariat
,,,,Arachne
,オリガミ,シャンハイ,Procida,Mr. Prospector
,,,,With Distinction
,,,Korveya,Riverman
,,,,Konafa
,,ラプソディスター,アスワン,ノーザンテースト
,,,,リリーオブザナイル
,,,キョクトウルンルン,ハンターコム
,,,,キョクトウメルド
