クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,ブルーアヴェニュー,Classic Go Go,Pago Pago,Matrice
,,,,Pompilia
,,,Classic Perfection,Never Bend
,,,,Mira Femme
,,Eliza Blue,Icecapade,Nearctic
,,,,Shenanigans
,,,コレラ,Roberto
,,,,Catania
グリシーヌ,サムライハート,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,エアグルーヴ,トニービン,カンパラ
,,,,Severn Bridge
,,,ダイナカール,ノーザンテースト
,,,,シャダイフェザー
,ダーリントウショウ,トウショウボーイ,テスコボーイ,Princely Gift
,,,,Suncourt
,,,ソシアルバターフライ,Your Host
,,,,Wisteria
,,セリナトウショウ,シルバーシャーク,Buisson Ardent
,,,,Palsaka
,,,ビバドンナ,Petingo
,,,,Donna Lollo
