ベルシャザール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,マルカキャンディ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ジーナロマンティカ,セクレト,Northern Dancer
,,,,Betty's Secret
,,,Waya,Faraway Son
,,,,War Path
マルサヒロイン,カコイーシーズ,Alydar,Raise a Native,Native Dancer
,,,,Raise You
,,,Sweet Tooth,On-And-On
,,,,Plum Cake
,,Careless Notion,Jester,Tom Fool
,,,,Golden Apple
,,,Miss Uppity,Nasrullah
,,,,Nursery School
,ユーワキャンディー,ロングリート,The Minstrel,Northern Dancer
,,,,Fleur
,,,Fair Arrow,Turn-to
,,,,Omelia
,,メイジガルボ,ファバージ,Princely Gift
,,,,Spring Offensive
,,,メイジポピー,ダイハード
,,,,トリーモス
