オルフェーヴル,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,オリエンタルアート,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,エレクトロアート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グランマスティーヴンス,Lt. Stevens
,,,,Dhow
ホワイトヴェール,クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ブルーアヴェニュー,Classic Go Go,Pago Pago
,,,,Classic Perfection
,,,Eliza Blue,Icecapade
,,,,コレラ
,ネガノ,Miswaki,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Hopespringseternal,Buckpasser
,,,,Rose Bower
,,Madame Treasurer,Key to the Mint,Graustark
,,,,Key Bridge
,,,Halo Dancer,Halo
,,,,Slight Deception
