オルフェーヴル,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,オリエンタルアート,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,エレクトロアート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グランマスティーヴンス,Lt. Stevens
,,,,Dhow
トーホウガイア,Unbridled's Song,Unbridled,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Gana Facil,Le Fabuleux
,,,,Charedi
,,Trolley Song,Caro,フォルティノ
,,,,Chambord
,,,Lucky Spell,Lucky Mel
,,,,Incantation
,Agami,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Agacerie,Exclusive Native,Raise a Native
,,,,Exclusive
,,,Quiet Charm,Nearctic
,,,,Cequillo
