フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
ナトリフレンド,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,シャルムマイヤー,ブレイヴェストローマン,Never Bend,Nasrullah
,,,,Lalun
,,,Roman Song,Roman
,,,,Quiz Song
,,キョウエイシェアー,フォルティノ,Grey Sovereign
,,,,Ranavalo
,,,グリーンパスチヤーズ,Palestine
,,,,Comedy
