トーセンホマレボシ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,エヴリウィスパー,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
ヒメゴリョウ,メジロマックイーン,メジロティターン,メジロアサマ,パーソロン
,,,,スヰート
,,,シエリル,スノッブ
,,,,Chanel
,,メジロオーロラ,リマンド,Alcide
,,,,Admonish
,,,メジロアイリス,ヒンドスタン
,,,,アサマユリ
,リュウリンドウ,ノーリュート,Luthier,Klairon
,,,,Flute Enchantee
,,,Prudent Miss,Prudent
,,,,Miss Glasso
,,ソワサージュ,トニービン,カンパラ
,,,,Severn Bridge
,,,ソールズベリー,Reneged
,,,,Bonnie's Girl
