ヴァーミリアン,エルコンドルパサー,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,サドラーズギャル,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Glenveagh,Seattle Slew
,,,,Lisadell
,スカーレットレディ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,スカーレットローズ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,スカーレットインク,Crimson Satan
,,,,Consentida
ワイルドポポ,ワイルドラッシュ,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Rose Park,Plugged Nickle,Key to the Mint
,,,,Toll Booth
,,,Hardship,Drone
,,,,Hard and Fast
,ファンドリポポ,ホスピタリテイ,テュデナム,Tudor Melody
,,,,Heath Rose
,,,トウコウポポ,アイアンリージ
,,,,フジチヨ
,,ファンドリパール,ノーザンネイティヴ,Nearctic
,,,,Natalma
,,,ファンドリクイン,シャミエ
,,,,トビモアー
