エピファネイア,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,シーザリオ,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,キロフプリミエール,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Querida,Habitat
,,,,Principia
カスタラナ,Key of Luck,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Balbonella,ゲイメセン,Vaguely Noble
,,,,Gay Missile
,,,Bamieres,Riverman
,,,,Bergamasque
,Kassana,Shernazar,Busted,Crepello
,,,,Sans le Sou
,,,Sharmeen,Val de Loir
,,,,Nasreen
,,Kassiyda,Mill Reef,Never Bend
,,,,Milan Mill
,,,Kadissya,Blushing Groom
,,,,Kalkeen
