パイロ,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Preach,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Narrate,Honest Pleasure
,,,,State
,Wild Vision,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Carol's Wonder,Pass the Tab,Al Hattab
,,,,Dantina
,,,Carols Christmas,Whitesburg
,,,,Light Verse
カネスブリエ,ロックオブジブラルタル,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Offshore Boom,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Push a Button,Bold Lad
,,,,River Lady
,サムソンフェアリー,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ティスワ,Lyphard,Northern Dancer
,,,,Goofed
,,,Happy Bride,Royal Match
,,,,Topping Girl
