ロードカナロア,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,レディブラッサム,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,サラトガデュー,Cormorant,His Majesty
,,,,Song Sparrow
,,,Super Luna,In Reality
,,,,Alada
ケンタッキーミント,ゼンノロブロイ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ローミンレイチェル,マイニング,Mr. Prospector
,,,,I Pass
,,,One Smart Lady,Clever Trick
,,,,Pia's Lady
,ムーンライトガーデンズ,Unbridled's Song,Unbridled,Fappiano
,,,,Gana Facil
,,,Trolley Song,Caro
,,,,Lucky Spell
,,Bee My Vision,Silver Ghost,Mr. Prospector
,,,,Misty Gallore
,,,Nifty Fifty,Honey Jay
,,,,Illgotten Gains
