シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Sharp Queen,Princequillo,Prince Rose
,,,,Cosquilla
,,,Bridgework,Occupy
,,,,Feale Bridge
,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Queen Louie,Crimson Satan
,,,,Reagent
,,Tri Argo,Tri Jet,Jester
,,,,Haze
,,,Hail Proudly,Francis S.
,,,,Spanglet
ミリオンハッピー,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ビッグハッピー,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,モルゲンロート,マルゼンスキー,Nijinsky
,,,,シル
,,,サンライトリバー,ダストコマンダー
,,,,サンパス
