アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,マイケイティーズ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ケイティーズファースト,Kris,Sharpen Up
,,,,Doubly Sure
,,,Katies,ノノアルコ
,,,,Mortefontaine
カーディアンゴット,アスワン,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,リリーオブザナイル,Never Bend,Nasrullah
,,,,Lalun
,,,Nile Lily,Roman
,,,,Azalea
,タマモビット,スルーザドラゴン,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Gueniviere,Prince John
,,,,Bold But Baffled
,,カバリランサー,ファバージ,Princely Gift
,,,,Spring Offensive
,,,サンマリノ,トサミドリ
,,,,サンキスト
