タイキシャトル,Devil's Bag,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Ballade,Herbager,Vandale
,,,,Flagette
,,,Miss Swapsco,Cohoes
,,,,Soaring
,ウェルシュマフィン,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,Muffitys,Thatch,Forli
,,,,Thong
,,,Contrail,Roan Rocket
,,,,Azurine
スイートライラ,アフリート,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Polite Lady,Venetian Jester,Tom Fool
,,,,Venice
,,,Friendly Ways,Green Ticket
,,,,Ways to Learn
,ピースフルロッジ,Grand Lodge,Chief's Crown,Danzig
,,,,Six Crowns
,,,La Papagena,Habitat
,,,,Magic Flute
,,Lem's Peace,L'Emigrant,The Minstrel
,,,,Suprina
,,,Ispahan,Rusticaro
,,,,Royal Danseuse
