スピルバーグ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,プリンセスオリビア,Lycius,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Lypatia,Lyphard
,,,,Hypatia
,,Dance Image,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Diamond Spring,Vaguely Noble
,,,,Dumfries
ナックオフィス,ジェネラス,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,Doff the Derby,Master Derby,ダストコマンダー
,,,,Madam Jerry
,,,Margarethen,Tulyar
,,,,Russ-Marie
,ワールドマドンナ,サンプリンス,Princely Gift,Nasrullah
,,,,Blue Gem
,,,Costa Sola,Worden
,,,,Sunny Cove
,,マリーオーギ,ダンディルート,Luthier
,,,,Dentrelic
,,,アコメオーギ,カリム
,,,,マリオン
