エイシンフラッシュ,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,ムーンレディ,プラティニ,Surumu,Literat
,,,,Surama
,,,Prairie Darling,Stanford
,,,,Prairie Belle
,,Midnight Fever,Sure Blade,Kris
,,,,Double Lock
,,,Majoritat,Konigsstuhl
,,,,Monacchia
レディーファースト,ダンスインザダーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,エリモシック,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,エリモシューテング,テスコボーイ,Princely Gift
,,,,Suncourt
,,,デプグリーフ,Vaguely Noble
,,,,デプス
