ハタノヴァンクール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ハタノプリエ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,ハヤベニコマチ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ターンツーダイナ,ノーザンテースト
,,,,ナイスランディング
フライバイペガサス,Fusaichi Pegasus,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Angel Fever,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Rowdy Angel,Halo
,,,,Ramhyde
,マックスジーン,Cozzene,Caro,フォルティノ
,,,,Chambord
,,,Ride the Trails,Prince John
,,,,Wildwook
,,ジャッキーマックス,Sexton Blake,Blakeney
,,,,Mayo Blues
,,,Silver Spring,Match
,,,,Solitude
