ハタノヴァンクール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ハタノプリエ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,ハヤベニコマチ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ターンツーダイナ,ノーザンテースト
,,,,ナイスランディング
ヴィヴィッドエンジェル,Septieme Ciel,Seattle Slew,Bold Reasoning,Boldnesian
,,,,Reason to Earn
,,,My Charmer,Poker
,,,,Fair Charmer
,,Maximova,Green Dancer,Nijinsky
,,,,Green Valley
,,,Baracala,Swaps
,,,,Seximee
,Setting,Exclusive Native,Raise a Native,Native Dancer
,,,,Raise You
,,,Exclusive,Shut Out
,,,,Good Example
,,Round Pearl,Round Table,Princequillo
,,,,Knights Daughter
,,,Choosy,My Request
,,,,Black Helen
