オルフェーヴル,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,オリエンタルアート,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,エレクトロアート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グランマスティーヴンス,Lt. Stevens
,,,,Dhow
ウィザウトアトレイス,Darshaan,Shirley Heights,Mill Reef,Never Bend
,,,,Milan Mill
,,,Hardiemma,ハーディカヌート
,,,,Grand Cross
,,Delsy,Abdos,Arbar
,,,,Pretty Lady
,,,Kelty,ヴェンチア
,,,,マリラ
,Star Profile,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sandhurst Goddess,Sandhurst Prince,Pampapaul
,,,,Blue Shark
,,,Paradise Bird,Sallust
,,,,Fair Darling
