タニノギムレット,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,タニノクリスタル,クリスタルパレス,Caro,フォルティノ
,,,,Chambord
,,,Hermieres,Sicambre
,,,,Vieille Pierre
,,タニノシーバード,Sea-Bird,Dan Cupid
,,,,Sicalade
,,,Flaxen,Graustark
,,,,Flavia
クラウンビション,メジロベイリー,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,レールデュタン,マルゼンスキー,Nijinsky
,,,,シル
,,,ケイツナミ,ラディガ
,,,,ハイビスカス
,アンチークショップ,Fusaichi Pegasus,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Angel Fever,Danzig
,,,,Rowdy Angel
,,Antique Auction,Geiger Counter,Mr. Prospector
,,,,Thong
,,,オールドスタッフ,Irish River
,,,,アンティックヴァリュー
