ワールドエース,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,マンデラ,Acatenango,Surumu,Literat
,,,,Surama
,,,Aggravate,Aggressor
,,,,Raven Locks
,,Mandellicht,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Mandelauge,Elektrant
,,,,Mandriale
マヤノダンシャラ,モンジュー,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Floripedes,Top Ville,High Top
,,,,Sega Ville
,,,Toute Cy,Tennyson
,,,,Adele Toumignon
,Dunshara,Dayjur,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Gold Beauty,Mr. Prospector
,,,,Stick to Beauty
,,Magnificent Star,Silver Hawk,Roberto
,,,,Gris Vitesse
,,,Gulanar,Val de Loir
,,,,Gulab
