シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Sharp Queen,Princequillo,Prince Rose
,,,,Cosquilla
,,,Bridgework,Occupy
,,,,Feale Bridge
,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Queen Louie,Crimson Satan
,,,,Reagent
,,Tri Argo,Tri Jet,Jester
,,,,Haze
,,,Hail Proudly,Francis S.
,,,,Spanglet
タイキプリンセス,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,ロイヤルブライド,Blushing Groom,Red God,Nasrullah
,,,,Spring Run
,,,Runaway Bride,Wild Risk
,,,,Aimee
,,ロイコン,High Top,Derring-Do
,,,,Camenae
,,,Madelon,セントクレスピン
,,,,Azurine
