パドトロワ,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,Sheer Ice,Cutlass,Damascus
,,,,Aphonia
,,,Hey Dolly A.,Ambehaving
,,,,Swift Deal
,グランパドドゥ,フジキセキ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ミルレーサー,Le Fabuleux
,,,,Marston's Mill
,,スターバレリーナ,Risen Star,Secretariat
,,,,Ribbon
,,,ベリアーニ,Nureyev
,,,,Eleven Pleasures
ママズディッシュ,クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ブルーアヴェニュー,Classic Go Go,Pago Pago
,,,,Classic Perfection
,,,Eliza Blue,Icecapade
,,,,コレラ
,シラユキヒメ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウェイブウインド,Topsider,Northern Dancer
,,,,Drumtop
,,,Storm and Sunshine,Star de Naskra
,,,,Sea Drone
