フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
サヴァント,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,Savannah Song,Riverman,Never Bend,Nasrullah
,,,,Lalun
,,,River Lady,Prince John
,,,,Nile Lily
,,Berkut,Sea-Bird,Dan Cupid
,,,,Sicalade
,,,Feria,Toulouse Lautrec
,,,,Feira de Rio
