フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
チアズブリス,カリズマティック,Summer Squall,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Bali Babe,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Polynesian Charm,What a Pleasure
,,,,Grass Shack
,チアズディライト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,チアズダンサー,アンバーシャダイ,ノーザンテースト
,,,,クリアアンバー
,,,シャトーフォモサ,シャトーゲイ
,,,,ネロリ
